,transaction_id,product_id,quantity,unit_price_GBP,line_total_GBP
0,91001,5195,9,1.95,17.55
1,91001,5226,7,1.53,10.71
2,91001,5167,1,1.14,1.14
3,91001,5135,1,11.85,11.85
4,91001,5045,2,1.52,3.04
5,91001,5065,8,0.71,5.68
6,91001,5248,9,5.31,47.79
7,91001,5076,6,1.04,6.24
8,91002,5103,5,2.76,13.8
9,91002,5059,1,1.15,1.15
10,91002,5200,2,10.31,20.62
11,91002,5032,4,3.63,14.52
12,91002,5047,6,1.24,7.44
13,91002,5170,5,5.62,28.1
14,91002,5017,5,3.62,18.1
15,91003,5023,5,0.79,3.95
16,91003,5177,2,1.22,2.44
17,91003,5091,2,3.34,6.68
18,91003,5153,7,2.69,18.83
19,91004,5092,4,0.92,3.68
20,91004,5071,3,2.67,8.01
21,91004,5078,8,1.44,11.52
22,91005,5239,3,1.94,5.82
23,91005,5128,8,2.62,20.96
24,91005,5127,1,1.69,1.69
25,91005,5156,7,3.22,22.54
26,91005,5207,6,4.17,25.02
27,91005,5209,1,2.7,2.7
28,91006,5141,2,1.99,3.98
29,91006,5155,4,2.73,10.92
30,91006,5079,3,2.09,6.27
31,91006,5217,2,1.5,3.0
32,91006,5151,1,4.07,4.07
33,91006,5158,7,1.66,11.62
34,91006,5001,6,8.69,52.14
35,91007,5173,8,3.21,25.68
36,91007,5003,6,4.39,26.34
37,91007,5148,3,9.25,27.75
38,91007,5136,5,1.79,8.95
39,91008,5239,8,1.94,15.52
40,91008,5240,5,4.44,22.2
41,91008,5110,1,2.41,2.41
42,91008,5107,9,2.39,21.51
43,91009,5174,7,5.41,37.87
44,91009,5191,4,2.51,10.04
45,91009,5186,8,1.72,13.76
46,91009,5095,7,2.63,18.41
47,91009,5113,2,2.59,5.18
48,91009,5081,8,7.87,62.96
49,91009,5117,1,0.94,0.94
50,91010,5223,6,4.82,28.92
51,91010,5161,6,3.86,23.16
52,91010,5197,7,2.67,18.69
53,91010,5016,1,0.98,0.98
54,91011,5142,4,3.98,15.92
55,91011,5032,9,3.63,32.67
56,91011,5043,1,4.38,4.38
57,91011,5088,1,10.7,10.7
58,91012,5193,8,4.45,35.6
59,91012,5243,8,1.82,14.56
60,91013,5072,4,1.76,7.04
61,91013,5030,8,2.1,16.8
62,91013,5143,2,3.58,7.16
63,91013,5210,9,2.89,26.01
64,91013,5212,7,8.41,58.87
65,91013,5106,4,2.28,9.12
66,91014,5033,9,9.85,88.65
67,91014,5149,6,1.9,11.4
68,91014,5072,5,1.76,8.8
69,91014,5229,5,3.94,19.7
70,91014,5091,7,3.34,23.38
71,91014,5125,8,3.06,24.48
72,91014,5011,2,0.79,1.58
73,91014,5156,8,3.22,25.76
74,91015,5122,2,1.3,2.6
75,91015,5080,7,2.43,17.01
76,91015,5121,4,1.17,4.68
77,91015,5103,5,2.76,13.8
78,91016,5053,1,1.82,1.82
79,91016,5050,5,2.46,12.3
80,91016,5071,1,2.67,2.67
81,91016,5188,9,3.62,32.58
82,91016,5243,7,1.82,12.74
83,91016,5084,1,3.89,3.89
84,91016,5226,7,1.53,10.71
85,91017,5066,6,1.17,7.02
86,91018,5237,2,1.02,2.04
87,91018,5016,1,0.98,0.98
88,91018,5239,2,1.94,3.88
89,91018,5193,1,4.45,4.45
90,91018,5183,9,8.9,80.1
