,transaction_id,customer_id,transaction_date,payment_method,satisfaction_level,store_branch,total_amount_GBP
0,91001,11618,2024-01-29,Credit Card,5,Manchester Arndale,104.0
1,91002,11453,2022-10-18,Debit Card,4,London Central,103.73
2,91003,11645,2023-03-23,Google Pay,4,Birmingham Bullring,31.9
3,91004,11690,2024-02-24,Google Pay,5,Leeds Trinity,23.21
4,91005,11451,2024-05-20,Google Pay,5,London Central,78.73
5,91006,11897,2024-09-21,Credit Card,4,Birmingham Bullring,92.0
6,91007,11678,2024-07-08,Google Pay,5,Glasgow Centre,88.72
7,91008,11205,2024-08-11,Apple Pay,5,Birmingham Bullring,61.64
8,91009,11065,2024-11-11,Apple Pay,2,Leeds Trinity,149.16
9,91010,11240,2022-07-20,Credit Card,3,Leeds Trinity,71.75
10,91011,11551,2022-03-19,Google Pay,4,London Central,63.67
11,91012,11997,2023-02-10,Credit Card,5,London Central,50.16
12,91013,11390,2024-03-27,Debit Card,2,London Central,125.0
13,91014,11992,2024-12-12,Apple Pay,3,Birmingham Bullring,203.75
14,91015,11048,2022-03-29,Credit Card,5,Birmingham Bullring,38.09
15,91016,11906,2024-01-08,Apple Pay,1,London Central,76.71
16,91017,11120,2024-10-23,Credit Card,3,Birmingham Bullring,7.02
17,91018,11860,2024-11-30,Google Pay,4,Birmingham Bullring,91.45
18,91019,11403,2024-02-11,Cash,2,London Central,191.92
19,91020,11310,2024-04-07,Google Pay,4,Manchester Arndale,23.86
20,91021,11347,2023-08-15,Google Pay,2,Manchester Arndale,54.28
21,91022,11240,2023-12-27,Credit Card,5,Birmingham Bullring,202.97
22,91023,11486,2024-03-21,Apple Pay,5,Leeds Trinity,35.82
23,91024,11511,2022-04-18,Apple Pay,5,London Central,61.96
24,91025,11633,2024-04-12,Credit Card,3,Glasgow Centre,63.76
25,91026,11751,2024-09-15,Apple Pay,4,Leeds Trinity,10.78
26,91027,11862,2022-08-05,Credit Card,5,London Central,46.26
27,91028,11929,2022-04-04,Apple Pay,5,Birmingham Bullring,86.36
28,91029,11717,2024-06-07,Apple Pay,4,Birmingham Bullring,5.7
29,91030,11737,2023-04-20,Google Pay,4,Manchester Arndale,58.46
30,91031,11035,2023-12-21,Debit Card,4,Leeds Trinity,53.32
31,91032,11689,2024-05-19,Debit Card,4,Manchester Arndale,5.74
32,91033,11840,2023-10-17,Apple Pay,5,London Central,13.55
33,91034,11497,2024-02-15,Google Pay,5,Manchester Arndale,2.28
34,91035,11807,2023-11-06,Credit Card,4,Birmingham Bullring,37.92
35,91036,11778,2024-11-14,Debit Card,2,Leeds Trinity,73.9
36,91037,11659,2022-06-21,Google Pay,4,London Central,87.03
37,91038,11543,2023-09-12,Apple Pay,4,Manchester Arndale,5.96
38,91039,11274,2024-09-09,Credit Card,5,Manchester Arndale,159.17
39,91040,11036,2023-10-05,Apple Pay,4,Birmingham Bullring,5.9
40,91041,11125,2023-10-13,Credit Card,5,Birmingham Bullring,30.75
41,91042,11906,2024-08-28,Debit Card,2,Glasgow Centre,180.81
42,91043,11024,2024-05-21,Apple Pay,2,Birmingham Bullring,19.04
43,91044,11431,2024-06-23,Apple Pay,4,Birmingham Bullring,42.09
44,91045,11414,2022-10-31,Credit Card,3,Manchester Arndale,120.28
45,91046,11728,2023-05-10,Apple Pay,3,Birmingham Bullring,135.35
46,91047,11408,2022-04-28,Credit Card,3,Manchester Arndale,11.51
47,91048,11993,2022-07-21,Google Pay,5,Manchester Arndale,77.94
48,91049,11125,2024-11-27,Apple Pay,5,London Central,109.17
49,91050,11174,2020-11-30,Debit Card,5,Birmingham Bullring,66.57
50,91051,11388,2021-12-13,Apple Pay,2,Leeds Trinity,33.39
51,91052,11029,2023-11-19,Google Pay,4,Leeds Trinity,72.12
52,91053,11229,2020-05-20,Google Pay,3,Glasgow Centre,79.18
53,91054,11521,2022-03-23,Debit Card,3,London Central,126.19
54,91055,11292,2024-01-23,Credit Card,5,Leeds Trinity,5.67
55,91056,11062,2022-07-16,Google Pay,3,Manchester Arndale,44.07
56,91057,11185,2024-11-03,Cash,4,Manchester Arndale,56.68
57,91058,11195,2023-07-23,Google Pay,3,Manchester Arndale,72.15
58,91059,11019,2022-08-18,Debit Card,5,London Central,79.46
